Name,EUR Notional,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Close Price
EDMWx,0E-20,0,1088,5.71000000,1088,5.70200000,0E-8,0E-8
EDOCl,0E-20,0,1691,11.92000000,0,0E-8,0E-8,0E-8
EEAAd,0E-20,0,0,0E-8,1705,10.51000000,0E-8,0E-8
EEDGl,0E-20,0,2418,6.32900000,2418,6.30600000,0E-8,0E-8
EEDSl,0E-20,0,0,0E-8,2419,8.27200000,0E-8,0E-8
EEJDl,0E-20,0,3446,5.82600000,0,0E-8,0E-8,0E-8
EEJGl,0E-20,0,0,0E-8,3447,4.43100000,0E-8,0E-8
EESGl,0E-20,0,729,21.01500000,0,0E-8,0E-8,0E-8
EESGp,0E-20,0,731,25.03000000,731,24.78000000,0E-8,0E-8
EEUDl,0E-20,0,2937,5.19700000,2937,5.18400000,0E-8,0E-8
EEWDx,0E-20,0,1088,5.72100000,1088,5.70900000,0E-8,0E-8
EEWGl,0E-20,0,0,0E-8,2677,5.70400000,0E-8,0E-8
EFIWm,0E-20,0,102,179.11000000,102,173.41000000,0E-8,0E-8
EGDMl,0E-20,0,0,0E-8,3514,4.39100000,0E-8,0E-8
EGOVp,0E-20,0,347,52.58000000,0,0E-8,0E-8,0E-8
EGRp,0E-20,0,379,7.00000000,0,0E-8,0E-8,0E-8
EHYAa,0E-20,0,3630,4.99890000,0,0E-8,0E-8,0E-8
EHYAz,0E-20,0,3635,4.99740000,0,0E-8,0E-8,0E-8
EIMIz,0E-20,0,815,33.90000000,816,33.85500000,0E-8,0E-8
EJAHd,0E-20,0,1502,12.10600000,0,0E-8,0E-8,0E-8
EJAHm,0E-20,0,1501,12.10600000,1501,12.07400000,0E-8,0E-8
EJAHp,0E-20,0,0,0E-8,1500,11.92150000,0E-8,0E-8
EL4Ad,0E-20,0,691,129.02000000,1383,128.86000000,0E-8,0E-8
EL4Bd,0E-20,0,1188,39.28000000,319,39.24000000,0E-8,0E-8
ELCRl,0E-20,0,942,16.37000000,942,16.06000000,0E-8,0E-8
ELEe,0E-20,0,53,22.00000000,0,0E-8,0E-8,0E-8
ELOVDm,0E-20,0,0,0E-8,1155,15.66000000,0E-8,0E-8
ELOVDz,0E-20,0,1150,16.14200000,1150,15.98000000,0E-8,0E-8
ELOWVz,0E-20,0,1154,15.78200000,1154,15.66000000,0E-8,0E-8
ELOWp,0E-20,0,408,44.45500000,408,44.32000000,0E-8,0E-8
ELSAl,0E-20,0,93,8.70000000,0,0E-8,0E-8,0E-8
ELTDz,0E-20,0,764,23.74000000,0,0E-8,0E-8,0E-8
